task_id	name	status	exit	realtime	peak_vmem	peak_rss	memory	submit	complete
130	run_analysis_subworkflow_discovery_analysis:run_association_analysis (33)	COMPLETED	0	2m 33s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:13:03.778	2024-04-24 14:15:42.893
97	run_analysis_subworkflow_discovery_analysis:run_association_analysis (1)	COMPLETED	0	4m 7s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:39.172	2024-04-24 14:15:47.802
103	run_analysis_subworkflow_discovery_analysis:run_association_analysis (6)	COMPLETED	0	4m	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:44.640	2024-04-24 14:15:47.838
105	run_analysis_subworkflow_discovery_analysis:run_association_analysis (8)	COMPLETED	0	3m 52s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:50.003	2024-04-24 14:15:47.873
102	run_analysis_subworkflow_discovery_analysis:run_association_analysis (5)	COMPLETED	0	4m 9s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:41.896	2024-04-24 14:15:52.802
104	run_analysis_subworkflow_discovery_analysis:run_association_analysis (7)	COMPLETED	0	4m 2s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:47.281	2024-04-24 14:15:52.836
106	run_analysis_subworkflow_discovery_analysis:run_association_analysis (9)	COMPLETED	0	3m 55s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:52.749	2024-04-24 14:15:52.870
107	run_analysis_subworkflow_discovery_analysis:run_association_analysis (10)	COMPLETED	0	3m 52s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:55.349	2024-04-24 14:15:52.905
129	run_analysis_subworkflow_discovery_analysis:run_association_analysis (32)	COMPLETED	0	2m 49s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:13:00.831	2024-04-24 14:15:52.957
108	run_analysis_subworkflow_discovery_analysis:run_association_analysis (11)	COMPLETED	0	3m 58s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:58.109	2024-04-24 14:15:57.803
109	run_analysis_subworkflow_discovery_analysis:run_association_analysis (12)	COMPLETED	0	3m 55s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:00.848	2024-04-24 14:15:57.837
112	run_analysis_subworkflow_discovery_analysis:run_association_analysis (15)	COMPLETED	0	3m 42s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:09.245	2024-04-24 14:15:57.877
110	run_analysis_subworkflow_discovery_analysis:run_association_analysis (13)	COMPLETED	0	4m 2s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:03.504	2024-04-24 14:16:07.803
111	run_analysis_subworkflow_discovery_analysis:run_association_analysis (14)	COMPLETED	0	3m 59s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:06.204	2024-04-24 14:16:07.837
113	run_analysis_subworkflow_discovery_analysis:run_association_analysis (16)	COMPLETED	0	3m 50s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:12.685	2024-04-24 14:16:07.872
115	run_analysis_subworkflow_discovery_analysis:run_association_analysis (18)	COMPLETED	0	3m 43s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:19.378	2024-04-24 14:16:07.908
114	run_analysis_subworkflow_discovery_analysis:run_association_analysis (17)	COMPLETED	0	3m 58s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:15.970	2024-04-24 14:16:17.819
116	run_analysis_subworkflow_discovery_analysis:run_association_analysis (19)	COMPLETED	0	3m 58s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:22.594	2024-04-24 14:16:22.820
118	run_analysis_subworkflow_discovery_analysis:run_association_analysis (21)	COMPLETED	0	3m 54s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:28.788	2024-04-24 14:16:27.820
119	run_analysis_subworkflow_discovery_analysis:run_association_analysis (22)	COMPLETED	0	3m 54s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:31.927	2024-04-24 14:16:27.855
117	run_analysis_subworkflow_discovery_analysis:run_association_analysis (20)	COMPLETED	0	4m 1s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:25.682	2024-04-24 14:16:32.820
120	run_analysis_subworkflow_discovery_analysis:run_association_analysis (23)	COMPLETED	0	3m 52s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:35.059	2024-04-24 14:16:32.857
123	run_analysis_subworkflow_discovery_analysis:run_association_analysis (26)	COMPLETED	0	3m 44s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:44.052	2024-04-24 14:16:32.894
125	run_analysis_subworkflow_discovery_analysis:run_association_analysis (28)	COMPLETED	0	3m 41s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:49.583	2024-04-24 14:16:32.929
121	run_analysis_subworkflow_discovery_analysis:run_association_analysis (24)	COMPLETED	0	3m 54s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:38.120	2024-04-24 14:16:37.819
124	run_analysis_subworkflow_discovery_analysis:run_association_analysis (27)	COMPLETED	0	3m 45s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:46.810	2024-04-24 14:16:37.916
122	run_analysis_subworkflow_discovery_analysis:run_association_analysis (25)	COMPLETED	0	3m 56s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:41.035	2024-04-24 14:16:42.820
131	run_analysis_subworkflow_discovery_analysis:combine_association_analysis	COMPLETED	0	15.7s	1.3 GB	618.4 MB	4 GB	2024-04-24 14:16:45.519	2024-04-24 14:17:07.820
